,Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
114,1964,1,1,,,,3.48,8.9,5.6,1.9
115,1964,2,1,,,,3.48,,5.4,1.9
116,1964,3,1,,,,3.43,,5.4,1.9
117,1964,4,1,,,,3.47,4.8,5.3,1.6
118,1964,5,1,,,,3.5,,5.1,1.6
119,1964,6,1,,,,3.5,,5.2,1.6
120,1964,7,1,,,,3.42,5.5,4.9,1.6
121,1964,8,1,,,,3.5,,5.0,0.9
122,1964,9,1,,,,3.45,,5.1,1.3
123,1964,10,1,,,,3.36,1.4,5.1,1.3
124,1964,11,1,,,,3.52,,4.8,1.2
125,1964,12,1,,,,3.85,,5.0,1.2
126,1965,1,1,,,,3.9,10.2,4.9,1.6
127,1965,2,1,,,,3.98,,5.1,1.6
128,1965,3,1,,,,4.04,,4.7,1.2
129,1965,4,1,,,,4.09,5.6,4.8,1.6
130,1965,5,1,,,,4.1,,4.6,1.6
131,1965,6,1,,,,4.04,,4.6,1.2
132,1965,7,1,,,,4.09,8.4,4.4,1.2
133,1965,8,1,,,,4.12,,4.4,1.6
134,1965,9,1,,,,4.01,,4.3,1.5
135,1965,10,1,,,,4.08,9.8,4.2,1.5
136,1965,11,1,,,,4.1,,4.1,1.2
137,1965,12,1,,,,4.32,,4.0,1.5
138,1966,1,1,,,,4.42,10.2,4.0,0.9
139,1966,2,1,,,,4.6,,3.8,1.2
140,1966,3,1,,,,4.65,,3.8,1.5
141,1966,4,1,,,,4.67,1.6,3.8,1.8
142,1966,5,1,,,,4.9,,3.9,2.1
143,1966,6,1,,,,5.17,,3.8,2.4
144,1966,7,1,,,,5.3,2.9,3.8,2.8
145,1966,8,1,,,,5.53,,3.8,3.1
146,1966,9,1,,,,5.4,,3.7,3.0
147,1966,10,1,,,,5.53,3.5,3.7,3.3
148,1966,11,1,,,,5.76,,3.6,3.6
149,1966,12,1,,,,5.4,,3.8,3.3
150,1967,1,1,,,,4.94,3.7,3.9,3.6
151,1967,2,1,,,,5.0,,3.8,3.6
152,1967,3,1,,,,4.53,,3.8,3.6
153,1967,4,1,,,,4.05,0.3,3.8,3.3
154,1967,5,1,,,,3.94,,3.8,3.3
155,1967,6,1,,,,3.98,,3.9,3.3
156,1967,7,1,,,,3.79,3.5,3.8,3.3
157,1967,8,1,,,,3.9,,3.8,3.3
158,1967,9,1,,,,3.99,,3.8,3.6
159,1967,10,1,,,,3.88,3.2,4.0,3.5
160,1967,11,1,,,,4.13,,3.9,3.5
161,1967,12,1,,,,4.51,,3.8,3.8
162,1968,1,1,,,,4.6,8.4,3.7,4.1
163,1968,2,1,,,,4.71,,3.8,4.1
164,1968,3,1,,,,5.05,,3.7,4.4
165,1968,4,1,,,,5.76,6.9,3.5,4.4
166,1968,5,1,,,,6.11,,3.5,4.3
167,1968,6,1,,,,6.07,,3.7,4.6
168,1968,7,1,,,,6.02,2.9,3.7,4.9
169,1968,8,1,,,,6.03,,3.5,4.9
170,1968,9,1,,,,5.78,,3.4,4.9
171,1968,10,1,,,,5.91,1.8,3.4,4.8
172,1968,11,1,,,,5.82,,3.4,5.1
173,1968,12,1,,,,6.02,,3.4,5.1
174,1969,1,1,,,,6.3,6.4,3.4,5.1
175,1969,2,1,,,,6.61,,3.4,5.3
176,1969,3,1,,,,6.79,,3.4,5.6
177,1969,4,1,,,,7.41,1.3,3.4,6.1
178,1969,5,1,,,,8.67,,3.4,6.1
179,1969,6,1,,,,8.9,,3.5,5.8
180,1969,7,1,,,,8.61,2.5,3.5,5.8
181,1969,8,1,,,,9.19,,3.5,5.8
182,1969,9,1,,,,9.15,,3.7,6.0
183,1969,10,1,,,,9.0,-1.7,3.7,6.0
184,1969,11,1,,,,8.85,,3.5,5.9
185,1969,12,1,,,,8.97,,3.5,6.2
186,1970,1,1,,,,8.98,-0.7,3.9,6.2
187,1970,2,1,,,,8.98,,4.2,6.1
188,1970,3,1,,,,7.76,,4.4,6.1
189,1970,4,1,,,,8.1,0.7,4.6,5.8
190,1970,5,1,,,,7.94,,4.8,6.0
191,1970,6,1,,,,7.6,,4.9,6.5
192,1970,7,1,,,,7.21,3.6,5.0,6.2
